Log File,Pre-Processing Time,CPU Time,CPU GFLOPS,Matrix A Length,Approx. Clock Cycles,Repeat Time,Num Samples,Average Power,Max Power,Total Kernel Runtime,FPGA Time,FPGA GFLOPS
language.log,0.678209,4.24437,0.748747,28428,47138,95,1,,,24.8372,261.444,12.1554
poli_large.log,0.04976,0.081568,1.19184,922,1653,2722,1,,,23.108,8.48933,11.4515
TSOPF_RS_b2383.log,0.978205,19.2398,1.68498,113462,118230,38,1,,,21.7737,572.992,56.5777
mouse_gene.log,2.29194,56.4002,1.0288,242004,247649,18,1,,,21.8541,1214.12,47.7917
soc-Pokec.log,27.0885,147.877,0.436247,315564,621717,7,1,,,20.4857,2926.53,22.0434
thread.log,0.293624,8.2014,1.09118,35508,39230,114,1,,,21.6858,190.227,47.0451
PFlow_742.log,5.11091,55.0627,1.37593,311808,404664,11,1,,,21.5844,1962.22,38.6106
crankseg_2.log,0.930358,24.443,1.16292,108684,116670,38,1,,,21.6034,568.511,49.9997
nd6k.log,0.486298,15.6508,0.883699,50106,52356,85,1,,,21.7511,255.895,54.0481
crystk03.log,0.128535,3.64398,0.974688,13308,16400,274,1,,,21.6586,79.0459,44.9327
Si41Ge41H72.log,1.22775,32.2441,0.942615,121848,145061,31,1,,,21.8721,705.552,43.0781
boyd2.log,0.850731,3.39239,1.15949,15694,44841,100,1,,,25.4455,254.455,15.4583
ASIC_680k.log,1.59689,4.15371,1.59947,28990,71672,62,1,,,22.7907,367.591,18.0736
lowThrust_7.log,0.0635209,0.474409,0.965155,2267,3357,1340,1,,,23.0056,17.1684,26.6698
ford2.log,0.117196,1.15532,1.11638,5927,12191,369,1,,,22.8948,62.0455,20.7875
c-52.log,0.0570094,0.439765,1.03081,2585,4084,1101,1,,,22.4054,20.35,22.2758
analytics.log,0.533615,5.71843,0.807892,28688,47678,94,1,,,22.7192,241.694,19.1146
nxp1.log,0.909018,5.04988,1.21606,29945,55859,80,1,,,22.7374,284.217,21.6066
hangGlider_3.log,0.0501081,0.223483,0.921439,999,1641,2742,1,,,22.2559,8.11666,25.3708
trans5.log,0.16126,1.48509,1.16711,8288,15594,288,1,,,22.877,79.4342,21.8202
