Log File,Pre-Processing Time,CPU Time,CPU GFLOPS,Matrix A Length,Approx. Clock Cycles,Repeat Time,Num Samples,Average Power,Max Power,Total Kernel Runtime,FPGA Time,FPGA GFLOPS
crankseg_2.log,0.901524,22.5412,1.26104,105438,113424,39,,,,21.6495,555.116,51.2062
mouse_gene.log,1.87828,47.2104,1.22907,205968,211613,21,,,,21.8334,1039.68,55.81
nd6k.log,0.440611,14.1005,0.980861,49602,51852,86,,,,21.84,253.953,54.4613
Si41Ge41H72.log,1.15846,23.2068,1.30969,113682,136895,32,,,,21.3322,666.633,45.593
thread.log,0.297854,11.1948,0.79941,35508,39230,114,,,,21.8677,191.822,46.6539
TSOPF_RS_b2383.log,0.948872,20.1745,1.60691,116052,120820,37,,,,21.9582,593.465,54.6259
analytics.log,0.51586,3.69347,1.25082,22375,41365,108,,,,22.9124,212.152,21.7763
boyd2.log,0.881897,2.93431,1.34049,15694,44841,100,,,,23.2295,232.295,16.9329
ford2.log,0.117045,1.18535,1.08809,5927,12191,369,,,,22.8986,62.0557,20.784
nxp1.log,0.924639,4.40736,1.39334,29785,55699,80,,,,22.6582,283.228,21.6821
trans5.log,0.148871,1.57873,1.09789,8288,15594,288,,,,22.8256,79.2554,21.8694
ASIC_680k.log,1.67846,4.63527,1.4333,28990,71672,62,,,,22.905,369.436,17.9834
c-52.log,0.0572422,0.435707,1.04041,2247,3746,1201,,,,22.3647,18.6218,24.3431
language.log,0.648838,3.33288,0.953517,19656,38366,117,,,,24.0903,205.9,15.4345
poli_large.log,0.0400463,0.084718,1.14752,581,1312,3429,,,,23.3497,6.80949,14.2766
soc-Pokec.log,22.4658,147.026,0.438771,272772,502388,8,,,,18.8487,2356.09,27.3805
crystk03.log,0.129613,3.59795,0.98716,13998,15928,282,,,,21.7454,77.1114,46.0599
hangGlider_3.log,0.0439876,0.220422,0.934235,774,1578,2851,,,,21.5884,7.57221,27.195
lowThrust_7.log,0.0472857,0.436518,1.04893,1752,3111,1446,,,,21.8681,15.1232,30.2766
PFlow_742.log,5.06495,55.5073,1.36491,331200,389233,11,,,,20.7851,1889.55,40.0955
